item,classification,value,unit,period_or_as_of_date,primary_source_and_locator,rationale,independent_check,uncertainty_or_failure_mode
Revenue,,,,,,,,
EBIT or operating income,,,,,,,,
Tax evidence,,,,,,,,
Depreciation and amortization,,,,,,,,
Capital expenditures,,,,,,,,
Operating working capital,,,,,,,,
Cash and non-operating assets,,,,,,,,
Debt and debt-like claims,,,,,,,,
Diluted common shares,,,,,,,,
